X1,HitTitle,AssignmentId,WorkerId,SpatialDistance,Date,DurationSeconds,Painter,Painting,Category,set,Painter_set,painting,distance_numeric
1,2spatdistCloseA2,3HMIGG0U4L6VY54UME2O33AJS17Y88,AUVC78LEL0T6L,around the corner,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,0
2,2spatdistCloseA2,3R0T90IZ1SCXOH979KWNYPZYDW3GCZ,ANZKTE853UXSD,in another state,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,1
3,2spatdistCloseA2,336KAV9KYQSKCQ256XTNTCXG61FY25,A2AAY4VT9L71SY,around the corner,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,0
4,2spatdistCloseA2,3FIUS151DV2A5TPCB6S6OGKDBOVGG9,A2WUQGSG1LUJG0,in another state,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,1
5,2spatdistCloseA2,3RXCAC0YIRPVCEJUS8GIW33FN5I8GL,A1FBO95OVBYOH1,in another state,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,1
6,2spatdistCloseA2,3KB8R4ZV1E7EECH1VK0SN5TGVB3BGN,A3LA5P3N3KI8U7,in another state,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,1
7,2spatdistCloseA2,36AHBNMV1RC7F00L3MD4PVOK3S4YDE,A25YG9M911WA3T,in another state,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,1
8,2spatdistCloseA2,36WLNQG78ZAGUYLAPPA4N284IVOEB9,A10GZ0SWBZIRBK,in another state,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,1
9,2spatdistCloseA2,3QILPRALQ5V1M60GFCTDMNCCOH48NT,A18TCR555RWUZV,around the corner,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,0
10,2spatdistCloseA2,326O153BMIY99VJU3L1AISW4LG0EDG,A1489QNXV5IM6O,in another state,NA,NA,Close,A2,Indeterminate,A,CloseA,CloseA2,1
