participant,painting_index.x,painting,distance_repetition,distance_trial,distance_index,distance_value,distance_responsetime,painting_index.y,liking_repetition,liking_trial,liking_index,liking_value,liking_responsetime,painting_index,abstraction_repetition,abstraction_trial,abstraction_index,abstraction_value,abstraction_responsetime,painting_index_comparison.x,comparison_position_1,comparison_position_2,comparison_painting,comparison_repetition,comparison_trial,comparison_index,comparison_value,comparison_responsetime,painting_index_comparison.y,painter,painting_category,session,date,framerate,experiment,experience_rating,experience_responsetime,viewing_value,viewing_responsetime,distance_value_numeric,painting_category_num,Painting,set,Painter_set,art_exp
b_1,1,Paintings/Clifb2.jpeg,0,0,0,tomorrow,9.60865497589,1,0,0,0,5,16.697,1,0,11,11,3,5.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Still,indeterminate,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,2,Clifb2.,B,StillB,novice 1-4
b_1,17,Paintings/Rothkoa3.jpeg,0,1,1,in a year,6.99412894249,17,0,13,13,3,3.779,17,0,17,17,7,5.679,7,"[0.4, 0]","[-0.4, 0]",Paintings/Rothkoa3new.jpeg,0,12,12,4,5.148,7,Rothko,abstract,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,3,Rothkoa3.,A,RothkoA,novice 1-4
b_1,12,Paintings/Closea1.jpeg,0,2,2,tomorrow,6.94038701057,12,0,16,16,6,5.183,12,0,9,9,1,3.408,11,"[0.4, 0]","[-0.4, 0]",Paintings/Closea1new.jpeg,0,13,13,3,5.916,11,Close,concrete,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,1,Closea1.,A,CloseA,novice 1-4
b_1,0,Paintings/Clifb1.jpeg,0,3,3,tomorrow,5.20406007767,0,0,19,19,3,4.412,0,0,10,10,1,1.401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Still,concrete,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,1,Clifb1.,B,StillB,novice 1-4
b_1,10,Paintings/Monb2.jpeg,0,4,4,tomorrow,5.1405980587,10,0,5,5,5,3.212,10,0,0,0,5,10.983,4,"[0.4, 0]","[-0.4, 0]",Paintings/Monb2new.jpeg,0,4,4,4,10.885,4,Mondrian,indeterminate,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,2,Monb2.,B,MondrianB,novice 1-4
b_1,15,Paintings/Rothkoa1.jpeg,0,5,5,in a year,3.03069710732,15,0,10,10,3,3.201,15,0,12,12,1,2.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rothko,concrete,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,1,Rothkoa1.,A,RothkoA,novice 1-4
b_1,16,Paintings/Rothkoa2.jpeg,0,6,6,in a year,7.16129302979,16,0,2,2,4,5.185,16,0,15,15,6,5.977,6,"[0.4, 0]","[-0.4, 0]",Paintings/Rothkoa2new.jpeg,0,11,11,5,3.077,6,Rothko,indeterminate,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,2,Rothkoa2.,A,RothkoA,novice 1-4
b_1,6,Paintings/MonA1.jpeg,0,7,7,tomorrow,5.43735980988,6,0,14,14,6,1.87,6,0,18,18,1,4.575,0,"[0.4, 0]","[-0.4, 0]",Paintings/MonA1new.jpeg,0,1,1,2,11.255,0,Mondrian,concrete,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,1,MonA1.,A,MondrianA,novice 1-4
b_1,18,Paintings/Rothkob1.jpeg,0,8,8,in a year,4.63861107826,18,0,12,12,4,1.947,18,0,16,16,2,6.044,8,"[0.4, 0]","[-0.4, 0]",Paintings/Rothkob1new.jpeg,0,9,9,5,5.016,8,Rothko,concrete,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,1,Rothkob1.,B,RothkoB,novice 1-4
b_1,7,Paintings/MonA2.jpeg,0,9,9,in a year,3.20303702354,7,0,6,6,6,1.91,7,0,2,2,4,6.052,1,"[0.4, 0]","[-0.4, 0]",Paintings/MonA2new.jpeg,0,0,0,5,15.116,1,Mondrian,indeterminate,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,2,MonA2.,A,MondrianA,novice 1-4
b_1,13,Paintings/Closea2.jpeg,0,10,10,tomorrow,4.97675991058,13,0,20,20,5,2.583,13,0,13,13,7,6.64,12,"[0.4, 0]","[-0.4, 0]",Paintings/Closea2new.jpeg,0,3,3,3,3.806,12,Close,indeterminate,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,2,Closea2.,A,CloseA,novice 1-4
b_1,14,Paintings/Closea3.jpeg,0,11,11,in a year,6.90513706207,14,0,8,8,4,2.182,14,0,1,1,7,7.599,13,"[0.4, 0]","[-0.4, 0]",Paintings/Closea2new.jpeg,0,2,2,4,7.853,13,Close,abstract,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,3,Closea3.,A,CloseA,novice 1-4
b_1,9,Paintings/Monb1.jpeg,0,12,12,in a year,3.70317602158,9,0,7,7,4,2.734,9,0,3,3,1,4.348,3,"[0.4, 0]","[-0.4, 0]",Paintings/Monb1new.jpeg,0,5,5,2,4.042,3,Mondrian,concrete,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,1,Monb1.,B,MondrianB,novice 1-4
b_1,4,Paintings/Clifa2.jpeg,0,13,13,tomorrow,3.19406914711,4,0,4,4,5,3.537,4,0,20,20,5,9.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Still,indeterminate,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,2,Clifa2.,A,StillA,novice 1-4
b_1,19,Paintings/Rothkob2.jpeg,0,14,14,in a year,3.36292290688,19,0,3,3,3,4.28,19,0,6,6,4,6.951,9,"[0.4, 0]","[-0.4, 0]",Paintings/Rothkob3new2.jpeg,0,7,7,3,3.044,9,Rothko,indeterminate,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,2,Rothkob2.,B,RothkoB,novice 1-4
b_1,20,Paintings/Rothkob3.jpeg,0,15,15,tomorrow,3.76609802246,20,0,1,1,4,12.414,20,0,14,14,7,2.001,10,"[0.4, 0]","[-0.4, 0]",Paintings/Rothkob2new3.jpeg,0,10,10,4,4.146,10,Rothko,abstract,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,3,Rothkob3.,B,RothkoB,novice 1-4
b_1,3,Paintings/Clifa1.jpeg,0,16,16,in a year,1.896089077,3,0,9,9,5,2.001,3,0,19,19,1,2.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Still,concrete,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,1,1,Clifa1.,A,StillA,novice 1-4
b_1,11,Paintings/Monb3.jpeg,0,17,17,tomorrow,2.12918281555,11,0,18,18,4,2.244,11,0,4,4,7,4.647,5,"[0.4, 0]","[-0.4, 0]",Paintings/Monb3new.jpeg,0,8,8,4,7.081,5,Mondrian,abstract,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,3,Monb3.,B,MondrianB,novice 1-4
b_1,8,Paintings/MonA3.jpeg,0,18,18,tomorrow,0.759207963943,8,0,17,17,6,1.581,8,0,7,7,7,4.908,2,"[0.4, 0]","[-0.4, 0]",Paintings/MonA3new.jpeg,0,6,6,6,5.549,2,Mondrian,abstract,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,3,MonA3.,A,MondrianA,novice 1-4
b_1,5,Paintings/Clifa3.jpeg,0,19,19,tomorrow,2.2557618618,5,0,15,15,4,5.453,5,0,8,8,7,1.704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Still,abstract,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,3,Clifa3.,A,StillA,novice 1-4
b_1,2,Paintings/Clifb3.jpeg,0,20,20,tomorrow,1.83274102211,2,0,11,11,5,4.319,2,0,5,5,7,2.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Still,abstract,1,2016-07-14T14:57:00Z,59.9153760224,tryagainsim,novice,10.3272669315,1-4,10.5439050198,0,3,Clifb3.,B,StillB,novice 1-4
