HitTitle,AssignmentId,WorkerId,TemporalDistance,Date,DurationSeconds,Painter,Painting,Category,painting,distance_numeric,set,Painter_set
Rka1,3FIUS151DV2A5TPCB6S6OGKCUS9GGC,A18TCR555RWUZV,tomorrow,2016-07-06,7,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3K5TEWLKGVB7JHL2QPRV9T02WKPIVV,A183WYXN12P2TJ,tomorrow,2016-07-06,10,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,34S6N1K2ZVJ4RHYO6374M81L598LHM,A15FXHC1CVNW31,tomorrow,2016-07-06,9,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,31QNSG6A5RTCJL8TZ5COQQQL76D87L,A273DS7TQWR9M1,tomorrow,2016-07-06,9,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3ZQIG0FLQEGPKC57F6VAAK9ABVNVWF,A19L9MK673JAAG,tomorrow,2016-07-06,8,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,30ZX6P7VF8VUH176KXSKJPIRC1LJ20,A3G0T5Y7OSC76S,in a year,2016-07-06,4,Rothko,A1,Concrete,RothkoA1,1,A,RothkoA
Rka1,3FK0YFF9PZGC5N52PWQEOIQW4MLVV5,AF4SO6NQC84U4,tomorrow,2016-07-06,6,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3NQL1CS15R8T9H07U7DYVHUQM3NVYE,A15OMU82KVQB2N,tomorrow,2016-07-06,8,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3PS7W85Z8Z2ZVOOAH0L3VIDEG9MT97,A3RYI5HXC2MJLN,tomorrow,2016-07-06,8,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3B2X28YI3WFCHJSVJ7R6BEGQK1E6BJ,A10GZ0SWBZIRBK,in a year,2016-07-06,5,Rothko,A1,Concrete,RothkoA1,1,A,RothkoA
Rka1,33C7UALJVLYY8ZTRAPVFPGZ84KD18H,A1ANF3U25Z0TUI,tomorrow,2016-07-06,11,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3IXEICO792JCD5MCJTIRB8MCQ8ET6W,A10BH9PYCYUKDJ,tomorrow,2016-07-06,36,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3AMYWKA6YBMW0DH4NCWSHYGPR0XO65,A173E26N947Q7A,tomorrow,2016-07-06,18,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,3TXMY6UCAEOO163LCG1ZS33Z2NQQC7,A11RO4HUQG8PKZ,tomorrow,2016-07-06,22,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
Rka1,31Z0PCVWUKFVH50H23NJHMM8LJYT7V,A1GYO6CJMVA9ZA,tomorrow,2016-07-06,42,Rothko,A1,Concrete,RothkoA1,0,A,RothkoA
